Year; Aaa ; Aa ; A ; Baa ; Ba ; B 
1920;0;0;0,323;0,942;2,153;4,382
1921;0;0,189;0,353;0,648;0,444;2,683
1922;0;0,185;0,165;1,1;1,078;1,705
1923;0;0;0;0,622;0,929;2,27
1924;0;0,367;0;0,126;2,065;2,705
1925;0;0;0,141;0,707;1,745;2,585
1926;0;0,395;0,147;0,113;1,387;2,9
1927;0;0;0,212;0;1,3;1,98
1928;0;0;0;0;0,164;1,32
1929;0;0,293;0;0,445;0,825;0,918
1930;0;0;0;0,401;0,917;3,163
1931;0;0;0,269;1,082;3,005;9,523
1932;0;0,67;1,099;0,927;6,097;13,978
1933;0;0;0,258;1,771;11,734;16,147
1934;0;0,617;0,306;0,857;2,529;4,224
1935;0;0;1,429;1,923;5,134;4,275
1936;0;0,847;0,543;0,327;1,231;2,385
1937;0;0;0,505;1,043;0,994;2,669
1938;0;0,855;1,639;1,99;0,988;1,467
1939;0;0;0;0,995;0,621;1,744
1940;0;0;0;1,37;0,431;3,307
1941;0;0;0;0;0,973;0,81
1942;0;0;0;0;0;0,787
1943;0;0;0;0;0;1,353
1944;0;0;0;0;0;0,493
1945;0;0;0;0;0;0
1946;0;0;0;0;0;0
1947;0;0;0;0;0;0,719
1948;0;0;0;0;0;0
1949;0;0;0;0;1,36;1,031
1950;0;0;0;0;0;0
1951;0;0;0;0;0;0
1952;0;0;0;0;0;0
1953;0;0;0;0;0;0
1954;0;0;0;0;0;0
1955;0;0;0;0;0;1,613
1956;0;0;0;0;0;0
1957;0;0;0;0;0;1,266
1958;0;0;0;0;0;0
1959;0;0;0;0;0;0
1960;0;0;0;0;1,251;0
1961;0;0;0;0;0,599;0
1962;0;0;0;0;1,749;1,471
1963;0;0;0;0;1,162;1,471
1964;0;0;0;0;0;0
1965;0;0;0;0;0;0
1966;0;0;0;0;0;2,439
1967;0;0;0;0;0;0
1968;0;0;0;0;0;0
1969;0;0;0;0;0;0
1970;0;0;0;0,543;4,237;19,444
1971;0;0;0;0;0,885;0
1972;0;0;0;0;0;6,897
1973;0;0;0;0,461;0;3,846
1974;0;0;0;0;0,513;7,162
1975;0;0;0;0;1,029;6,158
1976;0;0;0;0;0,995;0
1977;0;0;0;0,294;0,543;3,226
1978;0;0;0;0;1,124;5,405
1979;0;0;0;0;0,513;0
1980;0;0;0;0;0;5
1981;0;0;0;0;0;4,397
1982;0;0;0,256;0,328;2,777;2,222
1983;0;0;0;0;0,901;6,386
1984;0;0;0;0,365;0,839;6,817
1985;0;0;0;0;1,414;7,573
1986;0;0;0;1,038;2,087;11,568
1987;0;0;0;0;2,78;6,525
1988;0;0;0;0;1,25;6,184
1989;0;0,645;0;0,627;3,131;8,59
1990;0;0;0;0;3,443;15,986
1991;0;0;0;0,29;4,965;12,245
1992;0;0;0;0;0,332;9,236
1993;0;0;0;0;0,604;4,661
1994;0;0;0;0;0,265;4,124
1995;0;0;0;0;0,772;4,38
1996;0;0;0;0;0;1,446
1997;0;0;0;0;0,195;2,054
1998;0;0;0;0,133;0,895;4,019
1999;0;0;0;0,113;1,42;5,139
2000;0;0;0;0,421;0,792;6,253
2001;0;0;0,19;0,217;1,51;9,954
2002;0;0;0,197;1,12;1,516;4,668
2003;0;0;0;0;1,06;2,19
2004;0;0;0;0;0,454;0,88
2005;0;0;0;0,199;0;1,05
2006;0;0;0;0;0,219;1,215
2007;0;0;0;0;0;0
2008;0;0,724;0,547;0,52;1,22;2,144
2009;0;0;0,221;0,937;2,325;7,529
2010;0;0;0,23;0;0;0,508
2011;0;0;0;0,09;0,198;0,112
2012;0;0;0;0,085;0,17;0,485
2013;0;0;0;0,073;0,52;1,076
2014;0;0;0,121;0,068;0,169;0,25